Name,Type,Default Value,Description
**Carriage Position**,``Percent``,50,Position of carriage relative to available rod.
**Length**,``Length``,304.8 mm,Length of axis corresponds to rod length.
**Rod Diameter**,``Length``,8 mm,Diameter of rod.
